danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,genre
0.857,0.6759999999999999,-5.359,0.192,0.218,0.0,0.0592,0.3389999999999999,263127,Rap
0.762,0.282,-5.479,0.0719,0.1669999999999999,0.102,0.0987,0.155,147692,Rap
0.745,0.6459999999999999,-6.987,0.17,0.157,0.0,0.3379999999999999,0.46,203908,Rap
0.802,0.645,-6.745,0.295,0.0135,0.0,0.103,0.5589999999999999,140994,Rap
0.609,0.757,-5.605,0.119,0.299,0.0,0.63,0.379,180129,Rap
0.866,0.53,-6.347,0.0495,0.517,0.00159,0.0946,0.203,197973,Rap
0.959,0.583,-6.064,0.27,0.163,0.0,0.0559999999999999,0.887,163120,Rap
0.764,0.774,-2.8710000000000004,0.2019999999999999,0.0178,0.0,0.113,0.597,168980,Rap
0.804,0.763,-5.48,0.0519,0.0678,0.0,0.368,0.0585,156886,Rap
0.8170000000000001,0.743,-4.793,0.166,0.0244,1.04e-06,0.102,0.374,179059,Rap
0.89,0.53,-9.891,0.362,0.165,0.0,0.106,0.644,114865,Rap
0.794,0.632,-6.162999999999999,0.0649,0.142,0.0,0.128,0.355,291893,Rap
0.772,0.498,-7.661,0.649,0.115,0.0,0.0898,0.351,216727,Rap
0.81,0.353,-9.931,0.31,0.588,0.0,0.102,0.0727,208293,Rap
0.7509999999999999,0.6779999999999999,-5.956,0.357,0.1889999999999999,0.0,0.51,0.782,126859,Rap
0.67,0.622,-6.001,0.253,0.0317,0.0,0.158,0.41,180720,Rap
0.718,0.628,-6.007000000000001,0.223,0.5429999999999999,0.0,0.1159999999999999,0.722,274274,Rap
0.731,0.774,-5.273,0.0555,0.434,3.34e-06,0.114,0.2189999999999999,212467,Rap
0.922,0.909,-2.4290000000000003,0.27,0.0281,0.0,0.0856,0.309,161507,Rap
0.947,0.602,-7.275,0.0744,0.0515,0.0,0.0921,0.347,186453,Rap
0.701,0.768,-3.531,0.2289999999999999,0.354,0.0,0.148,0.7240000000000001,155093,Rap
0.723,0.8079999999999999,-6.32,0.203,0.0746,0.0,0.196,0.336,245853,Rap
0.517,0.705,-8.205,0.364,0.0751,0.0,0.128,0.584,239320,Rap
0.511,0.413,-10.839,0.0725,0.603,0.0,0.2189999999999999,0.736,182800,Rap
0.675,0.763,-6.232,0.368,0.0198,0.0,0.109,0.376,263993,Rap
0.499,0.8,-2.665,0.0502,0.0906,0.0,0.147,0.272,229573,Rap
0.755,0.83,-6.494,0.0613,0.0916,3.81e-05,0.298,0.513,337747,Rap
0.795,0.726,-5.95,0.077,0.171,0.0,0.12,0.335,173254,Rap
0.736,0.67,-6.702000000000001,0.311,0.186,0.0,0.114,0.845,169999,Rap
0.8370000000000001,0.482,-8.607999999999999,0.365,0.268,0.0,0.0991,0.444,169532,Rap
0.657,0.76,-3.446,0.0505,0.172,0.0,0.149,0.425,221781,Rap
0.826,0.426,-9.426,0.238,0.392,1.77e-06,0.172,0.316,266467,Rap
0.888,0.522,-5.867000000000001,0.0978,0.0427,0.0,0.104,0.491,158000,Rap
0.951,0.573,-6.002000000000001,0.2269999999999999,0.0667,0.0,0.119,0.42,211040,Rap
0.8740000000000001,0.7140000000000001,-4.946000000000001,0.233,0.0273,0.0,0.356,0.85,216678,Rap
0.591,0.627,-6.117000000000001,0.157,0.0696,0.0,0.127,0.0717,200000,Rap
0.813,0.5529999999999999,-7.198,0.1,0.152,0.0,0.2339999999999999,0.838,149400,Rap
0.76,0.588,-6.305,0.3879999999999999,0.102,0.0,0.0796,0.6759999999999999,179644,Rap
0.497,0.489,-7.724,0.294,0.0576,9.91e-05,0.122,0.231,268187,Rap
0.568,0.607,-7.438,0.108,0.0867,0.0,0.0972,0.2689999999999999,241427,Rap
0.706,0.557,-5.8,0.0813,0.0347,0.0,0.276,0.205,248827,Rap
0.7709999999999999,0.7609999999999999,-4.727,0.047,0.208,0.0,0.091,0.2769999999999999,219664,Rap
0.772,0.737,-7.648,0.2,0.0189,9.39e-05,0.206,0.5329999999999999,180707,Rap
0.726,0.225,-19.72,0.0588,0.00351,0.0,0.0655,0.17,208598,Rap
0.504,0.4529999999999999,-12.589,0.3829999999999999,0.0551,0.000199,0.0993,0.0928,182400,Rap
0.774,0.529,-4.479,0.0532,0.0674,0.0,0.0814,0.2269999999999999,228431,Rap
0.787,0.713,-5.252000000000001,0.401,0.0849,0.0,0.7170000000000001,0.7609999999999999,148759,Rap
0.767,0.503,-8.905,0.064,0.00891,0.0,0.18,0.324,212637,Rap
0.665,0.6509999999999999,-5.515,0.156,0.0414,0.0,0.0896,0.237,175755,Rap
0.5379999999999999,0.6779999999999999,-5.611000000000001,0.381,0.0519,0.0,0.119,0.524,235009,Rap
0.6920000000000001,0.521,-8.465,0.33,0.301,0.0,0.0565,0.4629999999999999,292987,Rap
0.531,0.8029999999999999,-3.284,0.0717,0.0796,1.7100000000000002e-05,0.176,0.221,299613,Rap
0.747,0.622,-5.825,0.0838,0.176,0.0,0.151,0.57,181661,Rap
0.665,0.535,-7.056,0.0572,0.0786,1.6800000000000002e-05,0.154,0.37,275253,Rap
0.774,0.701,-6.443,0.2339999999999999,0.0328,0.0,0.0916,0.422,191771,Rap
0.951,0.6,-4.675,0.0685,0.106,0.0,0.0712,0.8220000000000001,218573,Rap
0.77,0.578,-6.209,0.106,0.0186,0.0,0.268,0.285,138000,Rap
0.72,0.816,-3.313,0.143,0.207,0.0,0.813,0.487,233000,Rap
0.501,0.851,-5.111000000000001,0.292,0.0295,0.0,0.0775,0.627,219253,Rap
0.841,0.654,-7.593,0.33,0.424,0.0,0.108,0.845,228431,Rap
0.915,0.6659999999999999,-2.52,0.0402,0.0036799999999999,0.00295,0.253,0.0386,145168,Rap
0.743,0.731,-6.956,0.345,0.0193,0.0,0.108,0.593,185319,Rap
0.6579999999999999,0.535,-8.982999999999999,0.0573,0.0265,0.0,0.2,0.419,227360,Rap
0.45,0.465,-7.867000000000001,0.268,0.185,0.0,0.0782,0.7879999999999999,202827,Rap
0.8440000000000001,0.616,-10.648,0.128,0.262,0.0,0.0637,0.422,123540,Rap
0.797,0.722,-6.23,0.0601,0.0925,0.0,0.1119999999999999,0.3379999999999999,250272,Rap
0.912,0.412,-8.074,0.123,0.0165,0.0126,0.104,0.423,238614,Rap
0.7140000000000001,0.552,-7.931,0.291,0.367,0.0,0.1169999999999999,0.158,146667,Rap
0.871,0.7020000000000001,-8.025,0.253,0.296,0.0,0.0912,0.675,131286,Rap
0.8390000000000001,0.502,-5.886,0.3979999999999999,0.11,0.0,0.115,0.585,166637,Rap
0.821,0.684,-5.931,0.3329999999999999,0.3429999999999999,1.58e-06,0.2339999999999999,0.7440000000000001,160063,Rap
0.885,0.936,-5.879,0.0894,0.148,0.0,0.0703,0.763,162373,Rap
0.698,0.3229999999999999,-9.4,0.396,0.203,0.0,0.0939,0.3279999999999999,154074,Rap
0.851,0.85,-3.4,0.0904,0.226,0.0,0.145,0.642,165605,Rap
0.718,0.469,-11.092,0.179,0.0904,0.0,0.133,0.585,240048,Rap
0.8009999999999999,0.442,-10.382,0.162,0.0412,0.0,0.0946,0.221,176000,Rap
0.856,0.527,-7.345,0.528,0.0614,0.0,0.131,0.826,155683,Rap
0.779,0.455,-15.025,0.28,0.0542,0.0,0.177,0.1969999999999999,153429,Rap
0.774,0.5539999999999999,-7.909,0.0383,0.207,0.0,0.132,0.349,162547,Rap
0.71,0.7959999999999999,-6.365,0.261,0.0236,0.0,0.152,0.733,153078,Rap
0.716,0.531,-7.355,0.122,0.0703,0.0,0.2239999999999999,0.344,386907,Rap
0.735,0.662,-7.862,0.05,0.0104,0.0,0.153,0.124,101353,Rap
0.8590000000000001,0.77,-5.358,0.345,0.0056,0.0,0.0731,0.348,207394,Rap
0.921,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,135090,Rap
0.741,0.562,-5.474,0.165,0.172,0.0,0.0751,0.292,240926,Rap
0.779,0.5720000000000001,-9.985,0.3779999999999999,0.157,0.0,0.246,0.647,300160,Rap
0.8590000000000001,0.647,-6.902,0.336,0.0072599999999999,0.0,0.108,0.1689999999999999,175701,Rap
0.6759999999999999,0.82,-5.2170000000000005,0.0554,0.0493,0.0,0.615,0.618,199250,Rap
0.769,0.787,-3.909,0.367,0.1889999999999999,0.0,0.129,0.836,159715,Rap
0.74,0.488,-7.664,0.27,0.2339999999999999,0.0,0.241,0.584,120133,Rap
0.888,0.516,-10.228,0.41,0.148,0.0,0.106,0.606,114865,Rap
0.595,0.775,-8.128,0.057,0.00978,0.0,0.359,0.53,170504,Rap
0.599,0.5870000000000001,-5.919,0.0423,0.2739999999999999,0.0,0.1669999999999999,0.373,280787,Rap
0.873,0.5,-7.3,0.679,0.114,1.05e-05,0.132,0.529,161384,Rap
0.8759999999999999,0.662,-6.482,0.426,0.0608,0.0,0.127,0.8440000000000001,163320,Rap
0.866,0.563,-6.964,0.108,0.185,0.0,0.0889,0.307,161668,Rap
0.802,0.633,-4.133,0.132,0.138,0.0,0.1369999999999999,0.375,178360,Rap
0.889,0.3979999999999999,-7.183,0.204,0.19,0.0,0.104,0.159,295997,Rap
0.82,0.57,-6.162999999999999,0.0361,0.474,0.000347,0.109,0.0971,157612,Rap
0.731,0.6609999999999999,-6.562,0.376,0.145,0.0,0.12,0.369,292520,Rap
0.8340000000000001,0.5670000000000001,-5.16,0.1,0.188,0.0,0.0998,0.204,210432,Rap
0.8240000000000001,0.609,-10.587,0.512,0.00987,0.0,0.0979,0.657,214000,Rap
0.613,0.843,-8.343,0.186,0.0152,0.0,0.0917,0.325,265679,Rap
0.877,0.391,-8.196,0.063,0.0317,0.000502,0.0945,0.122,189230,Rap
0.52,0.594,-8.81,0.462,0.44,0.0,0.185,0.3929999999999999,230240,Rap
0.685,0.6409999999999999,-9.357,0.0645,0.0183,5.5700000000000005e-05,0.0598,0.0779,179870,Rap
0.956,0.64,-8.527000000000001,0.2339999999999999,0.023,3e-05,0.103,0.421,177424,Rap
0.6829999999999999,0.7759999999999999,-3.2510000000000003,0.341,0.15,0.0,0.2269999999999999,0.223,188773,Rap
0.665,0.535,-7.056,0.0572,0.0786,1.6800000000000002e-05,0.154,0.37,275253,Rap
0.878,0.314,-12.017,0.0652,0.7040000000000001,0.0,0.104,0.3289999999999999,171429,Rap
0.584,0.306,-8.401,0.0271,0.52,0.0,0.12,0.096,216004,Rap
0.616,0.818,-4.883,0.272,0.291,0.0,0.141,0.5589999999999999,201280,Rap
0.753,0.652,-5.943,0.0753,0.444,0.0,0.1169999999999999,0.745,123560,Rap
0.843,0.807,-8.24,0.208,0.0569,0.0,0.264,0.931,159441,Rap
0.75,0.502,-6.589,0.0795,0.0142,0.0,0.237,0.145,167040,Rap
0.752,0.586,-12.73,0.436,0.0606,0.0,0.118,0.897,169601,Rap
0.863,0.368,-12.307,0.0396,0.299,0.000324,0.102,0.445,192235,Rap
0.604,0.872,-4.01,0.288,0.0978,0.0,0.121,0.732,206293,Rap
0.8640000000000001,0.6709999999999999,-7.678,0.4579999999999999,0.1939999999999999,0.0,0.132,0.222,242987,Rap
0.7959999999999999,0.586,-6.946000000000001,0.147,0.0247,0.0,0.132,0.179,200107,Rap
0.736,0.578,-7.387,0.129,0.0906,1.58e-06,0.319,0.133,225381,Rap
0.7879999999999999,0.516,-6.807,0.2189999999999999,0.1,0.0,0.129,0.235,222400,Rap
0.8,0.568,-8.199,0.0409,0.8220000000000001,4.27e-06,0.102,0.574,190099,Rap
0.945,0.65,-7.071000000000001,0.154,0.000515,0.0,0.135,0.804,96563,Rap
0.81,0.55,-7.46,0.17,0.0114,5.69e-06,0.107,0.183,214593,Rap
0.745,0.695,-5.797000000000001,0.2019999999999999,0.0904,0.0,0.385,0.6559999999999999,185420,Rap
0.731,0.657,-8.56,0.0434,0.0591,0.0,0.0874,0.49,184490,Rap
0.768,0.622,-6.56,0.308,0.3429999999999999,2.21e-06,0.0789,0.603,192265,Rap
0.618,0.5820000000000001,-9.454,0.297,0.625,3.84e-06,0.265,0.48,130613,Rap
0.8959999999999999,0.586,-6.687,0.0559,0.104,0.0,0.79,0.642,196653,Rap
0.493,0.826,-3.1060000000000003,0.311,0.095,3.42e-06,0.252,0.75,189974,Rap
0.868,0.657,-4.853,0.113,0.0158,0.0,0.0995,0.436,191410,Rap
0.8740000000000001,0.4429999999999999,-9.628,0.241,0.147,0.0,0.124,0.298,235988,Rap
0.892,0.633,-7.471,0.0902,0.0467,0.0001889999999999,0.139,0.4589999999999999,195047,Rap
0.8590000000000001,0.477,-6.1160000000000005,0.428,0.00414,0.0,0.0819,0.153,251336,Rap
0.768,0.436,-12.956,0.1689999999999999,0.0826,0.00594,0.255,0.392,205871,Rap
0.8320000000000001,0.5489999999999999,-8.259,0.0602,0.168,0.0,0.11,0.384,181496,Rap
0.67,0.6890000000000001,-5.822,0.327,0.265,0.0,0.282,0.639,278402,Rap
0.6509999999999999,0.631,-5.7170000000000005,0.0896,0.519,0.000579,0.165,0.35,154424,Rap
0.5539999999999999,0.498,-8.866,0.0685,0.23,5.98e-06,0.795,0.413,190067,Rap
0.8079999999999999,0.907,-4.027,0.0865,0.0592,0.0,0.139,0.721,180447,Rap
0.718,0.552,-6.287000000000001,0.44,0.557,0.0,0.119,0.427,192572,Rap
0.826,0.474,-11.705,0.479,0.298,0.0,0.114,0.266,167590,Rap
0.873,0.6629999999999999,-4.086,0.15,0.0216,0.000356,0.0867,0.525,115194,Rap
0.932,0.547,-7.787000000000001,0.3329999999999999,0.0388,0.0,0.0924,0.695,176640,Rap
0.877,0.6559999999999999,-5.823,0.417,0.148,0.0,0.16,0.535,96041,Rap
0.852,0.432,-8.04,0.501,0.0599,0.0,0.146,0.258,236571,Rap
0.733,0.6779999999999999,-7.771,0.4379999999999999,0.121,0.0,0.344,0.841,142000,Rap
0.8170000000000001,0.556,-7.178,0.14,0.469,0.0,0.131,0.314,166368,Rap
0.446,0.84,-4.539,0.313,0.5670000000000001,0.0,0.0967,0.433,323267,Rap
0.852,0.745,-3.667,0.171,0.0313,0.0,0.0824,0.897,195681,Rap
