danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,genre
0.532,0.7040000000000001,-3.895,0.26,0.093,0.0,0.184,0.591,186344,Rap
0.7240000000000001,0.675,-5.267,0.0867,0.0978,9.41e-06,0.351,0.325,199758,Rap
0.732,0.722,-7.456,0.0792,0.235,0.0,0.247,0.703,146667,Rap
0.76,0.524,-7.67,0.0323,0.0542,0.5,0.1119999999999999,0.1119999999999999,270307,Rap
0.926,0.555,-8.416,0.105,0.00215,0.0022199999999999,0.1,0.0683,181789,Rap
0.845,0.631,-8.206,0.216,0.188,0.0,0.0806,0.545,279907,Rap
0.8590000000000001,0.563,-6.635,0.1119999999999999,0.0541,0.0,0.0685,0.412,258789,Rap
0.8590000000000001,0.477,-6.1160000000000005,0.428,0.00414,0.0,0.0819,0.153,251336,Rap
0.802,0.64,-5.506,0.2789999999999999,0.0426,0.0,0.111,0.22,215440,Rap
0.792,0.4539999999999999,-6.752999999999999,0.4579999999999999,0.00422,0.0,0.285,0.674,202963,Rap
0.81,0.55,-7.46,0.17,0.0114,5.69e-06,0.107,0.183,214593,Rap
0.906,0.395,-11.277,0.206,0.0103,0.000195,0.1169999999999999,0.376,197420,Rap
0.897,0.5589999999999999,-8.267999999999999,0.379,0.155,0.000127,0.296,0.677,264400,Rap
0.718,0.643,-6.939,0.216,0.0876,0.0,0.124,0.469,258006,Rap
0.797,0.731,-4.4430000000000005,0.0479,0.2289999999999999,0.0,0.2239999999999999,0.623,228387,Rap
0.95,0.489,-8.411,0.462,0.105,0.0,0.411,0.919,158769,Rap
0.7340000000000001,0.57,-7.066,0.133,0.847,2.14e-05,0.1119999999999999,0.6890000000000001,95467,Rap
0.904,0.7559999999999999,-3.746,0.32,0.0692,0.0,0.3389999999999999,0.342,288087,Rap
0.804,0.763,-5.48,0.0519,0.0678,0.0,0.368,0.0585,156886,Rap
0.772,0.879,-4.22,0.34,0.0283,2.25e-06,0.256,0.309,135747,Rap
0.836,0.624,-6.75,0.184,0.187,0.0,0.138,0.7,139890,Rap
0.83,0.574,-6.892,0.701,0.281,0.0,0.124,0.5379999999999999,190746,Rap
0.767,0.583,-7.907999999999999,0.193,0.264,0.0,0.123,0.254,174707,Rap
0.64,0.841,-2.426,0.0466,0.153,0.0,0.0457,0.0471,282546,Rap
0.496,0.529,-9.243,0.0303,0.0495,1.78e-06,0.098,0.223,184258,Rap
0.847,0.637,-5.193,0.367,0.0258,0.000648,0.382,0.511,173893,Rap
0.85,0.405,-7.508999999999999,0.225,0.119,0.000118,0.0707,0.344,190312,Rap
0.6559999999999999,0.542,-7.358,0.3229999999999999,0.0484,0.0,0.126,0.551,141587,Rap
0.6990000000000001,0.8690000000000001,-4.263,0.238,0.0118,0.0,0.0982,0.616,228627,Rap
0.778,0.327,-12.505999999999998,0.416,0.22,4.1e-05,0.0837,0.43,193776,Rap
0.872,0.591,-6.952000000000001,0.359,0.111,0.0,0.144,0.696,205352,Rap
0.643,0.614,-4.333,0.0456,0.0685,0.0,0.123,0.434,128705,Rap
0.765,0.5529999999999999,-7.1160000000000005,0.358,0.00822,0.0,0.206,0.565,184258,Rap
0.912,0.412,-8.074,0.123,0.0165,0.0126,0.104,0.423,238614,Rap
0.6779999999999999,0.857,-6.325,0.198,0.259,0.0,0.716,0.8540000000000001,158420,Rap
0.7120000000000001,0.62,-10.299,0.168,0.593,1.06e-06,0.126,0.514,165303,Rap
0.784,0.6459999999999999,-7.561,0.236,0.267,6.11e-06,0.0712,0.381,161627,Rap
0.8370000000000001,0.495,-6.962999999999999,0.193,0.0509,0.0,0.1,0.503,161365,Rap
